"Company","Source","Product.Level","Distance","Temperature","Price"
"Uber","North Station",1,1.08,44,6.5
"Uber","Beacon Hill",5,1.92,33.67,27.5
"Uber","Beacon Hill",1,2.27,39.78,9
"Uber","Haymarket Square",4,1.82,46.05,21
"Uber","North End",3,1.03,47.5,12
"Lyft","Back Bay",3,2.31,44.29,13.5
"Lyft","Fenway",1,2.44,37.61,7
"Uber","South Station",2,0.54,36.44,7
"Lyft","Beacon Hill",1,2.52,40.63,3.5
"Lyft","North Station",1,3.2,44.18,7
"Uber","North Station",2,2.17,42.21,9.5
"Uber","Beacon Hill",3,1.35,37.74,21.5
"Lyft","Northeastern University",5,4.15,52,38.5
"Uber","Haymarket Square",2,0.49,45.77,7
"Lyft","North End",2,1.07,37.74,7
"Lyft","Beacon Hill",3,2.38,38.52,13.5
"Uber","Haymarket Square",2,1.16,20.26,9
"Lyft","Fenway",1,2.71,33.37,7
"Lyft","Boston University",5,2.67,21.95,30
"Lyft","Financial District",4,3.46,46.84,22.5
"Uber","Boston University",1,1.56,43.29,7.5
"Lyft","Theatre District",4,3.21,33.3,26
"Uber","North Station",2,3.01,33.27,10.5
"Uber","North Station",1,3.01,49.4,10
"Uber","North Station",2,3.01,44.06,10.5
"Uber","North Station",1,3.37,42.7,10
"Lyft","Theatre District",3,0.65,40.64,13.5
"Lyft","Haymarket Square",3,0.69,49.38,9
"Uber","Financial District",5,2.45,37.24,31.5
"Lyft","Beacon Hill",4,2.51,40.77,19.5
"Uber","Back Bay",2,2.32,30.57,10.5
"Uber","Haymarket Square",3,0.82,38.37,10.5
"Uber","North End",2,2.34,43.41,9.5
"Uber","North Station",2,3.01,29.78,11.5
"Lyft","West End",2,1.06,30.01,7
"Uber","Back Bay",2,1.89,39,10.5
"Lyft","North End",5,1.1,33.21,27.5
"Uber","Financial District",2,1.25,29.38,7
"Lyft","Theatre District",4,0.58,32.09,11
"Uber","Fenway",2,3.07,36.95,9.5
"Uber","Boston University",2,4.72,46.41,14
"Lyft","Haymarket Square",4,0.66,36.57,16.5
"Uber","West End",2,0.98,38.39,7.5
"Lyft","North End",2,3.41,40.26,10.5
"Lyft","Beacon Hill",3,2.45,38.52,16.5
"Uber","Boston University",2,4.72,47.75,14
"Lyft","Fenway",5,3.22,39.59,34
"Lyft","Boston University",4,2.67,39.6,22.5
"Lyft","Boston University",5,1.53,36.54,27.5
"Uber","Back Bay",2,1.4,47.34,8.5
"Lyft","North End",1,1.12,28.69,3.5
"Lyft","Boston University",1,2.89,41.78,10.5
"Lyft","South Station",5,2.08,37.66,34
"Uber","South Station",5,3.44,36.61,31.5
"Lyft","South Station",3,2.57,36.91,16.5
"Lyft","Beacon Hill",3,2.08,28.32,13.5
"Uber","Haymarket Square",4,1.79,42.3,18.5
"Uber","North Station",3,3.05,44.93,18.5
"Lyft","Back Bay",5,1.32,44.89,27.5
"Uber","Theatre District",2,1.8,30.46,14.5
"Uber","Financial District",4,1.25,36.27,16
"Uber","North End",2,1.41,39.52,9.5
"Uber","Boston University",2,3.39,38.03,12.5
"Uber","Financial District",5,4.48,40.7,37
"Uber","Haymarket Square",3,0.49,41.2,9.5
"Lyft","South Station",3,2.47,44.48,16.5
"Lyft","North End",4,1.81,41.54,19.5
"Lyft","Northeastern University",4,2.05,44.12,16.5
"Uber","North End",1,1.9,25.42,9
"Uber","Haymarket Square",4,1.79,37.31,18.5
"Uber","Financial District",1,0.39,36.47,5.5
"Lyft","Fenway",2,3.22,46.71,10.5
"Lyft","North Station",5,3.19,29.26,34
"Uber","West End",5,2.14,41.24,28
"Uber","Theatre District",5,2.66,38.5,27.5
"Lyft","North End",3,1.54,43.97,16.5
"Lyft","Back Bay",5,1.44,40.7,27.5
"Uber","Beacon Hill",5,2.27,47.54,26
"Uber","Boston University",2,2.98,54.62,12.5
"Uber","North End",3,1.22,39.41,11.5
"Uber","North Station",4,3.3,41.63,29.5
"Lyft","West End",4,2.93,28.7,19.5
"Uber","Back Bay",1,3.19,26.16,9.5
"Lyft","Theatre District",1,0.61,35.66,5
"Lyft","South Station",4,2.49,44.82,19.5
"Lyft","Theatre District",4,3.18,26.35,19.5
"Uber","Fenway",4,2.66,35.68,23
"Uber","Boston University",5,3.39,38.39,41.5
"Uber","North Station",2,1.08,32.28,9.5
"Uber","Boston University",4,3.04,34.22,22.5
"Uber","Boston University",4,2.98,50.95,21
"Lyft","Theatre District",4,3.11,42.16,22.5
"Uber","North Station",3,3.01,38.46,18
"Uber","Northeastern University",3,6.91,41.24,26
"Lyft","Theatre District",4,0.69,43.94,16.5
"Uber","Beacon Hill",2,2.48,23.83,9.5
"Uber","Theatre District",1,0.55,55.38,6.5
"Lyft","Theatre District",5,3.15,50.61,32.5
"Uber","North End",4,2.67,48.13,22.5
"Lyft","North End",5,1.11,30.57,26
"Lyft","Financial District",1,3.43,48.52,9
"Lyft","North End",3,2.53,47.28,16.5
"Lyft","Boston University",2,1.49,41.54,9
"Uber","Beacon Hill",2,2.27,28.32,9.5
"Lyft","Theatre District",3,1.77,30.14,13.5
"Lyft","Theatre District",4,0.62,41.63,16.5
"Uber","Northeastern University",1,1.89,33.33,8.5
"Lyft","Financial District",5,0.47,32.79,27.5
"Lyft","West End",5,2.99,38.33,32.5
"Lyft","West End",3,1.08,37.65,11
"Uber","North End",3,1.04,37.62,10.5
"Uber","Fenway",3,1.5,42.19,13
"Uber","Back Bay",5,3.45,33.02,35
"Lyft","South Station",4,1.67,40.38,16.5
"Uber","West End",5,0.72,39.57,26
"Lyft","Back Bay",4,1.38,41.27,27.5
"Uber","Boston University",2,3.04,41.51,9.5
"Lyft","North Station",4,1.08,28.65,16.5
"Uber","West End",3,2.84,44.9,17.5
"Uber","Theatre District",5,0.55,44.64,26
"Uber","Back Bay",2,1.22,44.54,8.5
"Lyft","West End",2,1.08,46.7,7
"Uber","North End",3,1.41,37.34,14
"Lyft","South Station",5,1.12,46.27,32.5
"Lyft","Financial District",5,3.99,41.19,42.5
"Uber","Boston University",2,4.72,44.49,15
"Uber","Back Bay",2,6.26,38.38,15
"Uber","Northeastern University",3,1.64,43.88,12
"Lyft","Boston University",2,2.67,37.08,10.5
"Lyft","West End",5,0.76,36.26,27.5
"Uber","South Station",3,1.7,32.85,16
"Uber","Financial District",3,5.56,36.79,26
"Lyft","North Station",5,0.98,50.35,27.5
"Uber","Beacon Hill",3,1.35,51.3,12.5
"Lyft","Back Bay",1,2.65,36.91,7
"Lyft","Beacon Hill",4,2.35,50.82,22.5
"Lyft","North Station",3,1.04,41.95,11
"Uber","North Station",2,3.05,43.79,10.5
"Lyft","North End",3,1.27,38.91,11
"Uber","West End",5,3.08,27.34,35
"Uber","North Station",4,0.56,41.37,16
"Lyft","Haymarket Square",1,2.34,32.58,7
"Lyft","West End",4,0.76,36.69,11
"Uber","Northeastern University",2,2.86,34.2,8.5
"Lyft","North End",4,1.27,41.22,16.5
"Uber","Beacon Hill",5,2.23,51.84,29.5
"Lyft","Northeastern University",5,1.45,41.3,26
"Lyft","Fenway",3,1.46,26.88,10.5
"Lyft","North End",2,1.13,47.42,7
"Uber","West End",2,1,34.21,8
"Uber","North End",4,1.03,40.68,15
"Uber","West End",1,2.84,40.1,10
"Uber","Beacon Hill",5,2.32,54.64,28.5
"Uber","West End",5,2.84,39.36,32.5
"Uber","Boston University",2,4.3,47.27,36.5
"Lyft","Back Bay",1,2.25,41.36,3.5
"Lyft","Haymarket Square",2,2.34,44.18,9
"Uber","North End",2,1.41,41.56,9.5
"Lyft","Beacon Hill",5,2.42,53.12,30
"Uber","Back Bay",2,2.32,43.2,9.5
"Lyft","Beacon Hill",5,2.08,44.31,32.5
"Uber","Financial District",3,1.21,45.25,10.5
"Lyft","South Station",3,0.55,36.76,10.5
"Uber","North Station",1,1.08,44.17,7
"Lyft","West End",1,2.17,48.67,7
"Uber","West End",5,0.72,38.44,27
"Lyft","Back Bay",5,2.67,39.46,34
"Lyft","Beacon Hill",5,1.73,37.86,27.5
"Lyft","Beacon Hill",4,1.32,27.47,16.5
"Lyft","Haymarket Square",2,0.68,34.36,7
"Uber","Haymarket Square",2,0.99,39.48,7.5
"Uber","Financial District",5,0.39,36.8,26.5
"Uber","Beacon Hill",5,2.27,29.94,27.5
"Lyft","Fenway",1,2.44,44.21,5
"Uber","Beacon Hill",5,2.37,34.33,28.5
"Lyft","Theatre District",2,1.76,52.72,9
"Lyft","Beacon Hill",5,2.3,43.69,32.5
"Lyft","North End",3,1.88,44.13,16.5
"Lyft","Back Bay",3,1.47,41.38,13.5
"Uber","Boston University",4,4.31,30.13,30.5
"Uber","Financial District",5,7.46,46.88,49.5
"Lyft","South Station",4,1.75,41.61,22.5
"Lyft","Haymarket Square",2,0.68,40.88,7
"Lyft","North End",4,1.53,36.6,16.5
"Lyft","Northeastern University",5,2.38,34.68,57.5
"Uber","North Station",3,2.78,32.58,16
"Uber","North Station",4,3.01,41.2,25
"Uber","West End",2,0.72,45.46,7
"Uber","Beacon Hill",4,2.27,36.92,20.5
"Lyft","North Station",4,3.19,43.79,26
"Lyft","Financial District",4,1.01,40.54,22.5
"Uber","Back Bay",2,1.34,35.84,7.5
"Lyft","Northeastern University",4,3.18,41.52,26
"Lyft","Theatre District",4,2.15,36.9,22.5
"Uber","North End",2,1.04,41.23,8
"Lyft","North Station",5,0.75,35.41,27.5
"Lyft","North End",5,1.76,34.34,32.5
"Lyft","Northeastern University",3,2.8,37.65,16.5
"Uber","North End",3,1.41,48.76,13
"Lyft","Back Bay",4,2.32,41.01,22.5
"Uber","Financial District",1,0.39,45.54,6.5
"Lyft","Back Bay",5,1.38,45.95,45.5
"Lyft","North Station",3,3.24,41.26,16.5
"Uber","Boston University",2,3.39,31.35,11
"Uber","Boston University",2,1.56,38.54,8
"Uber","Haymarket Square",1,0.49,33.18,6.5
"Lyft","Back Bay",5,1.46,42.55,26
"Uber","Back Bay",3,1.34,41.27,12.5
"Uber","Northeastern University",5,2.84,23.14,33
"Uber","Northeastern University",5,3.22,50.64,35
"Lyft","West End",2,1.7,34.25,9.35
"Uber","Back Bay",2,2.2,41.84,9.5
"Uber","Theatre District",2,1.61,39.97,8.5
"Uber","Theatre District",1,1.57,38.96,7.5
"Uber","Theatre District",2,1.61,43.05,9.5
"Lyft","Haymarket Square",3,0.54,30.57,9
"Lyft","Financial District",3,5.2,40.88,22.5
"Lyft","Northeastern University",2,1.25,30.26,7
"Uber","Haymarket Square",2,1.83,42.7,11.5
"Uber","West End",2,3.08,41.97,10.5
"Lyft","Back Bay",2,1.07,39.71,7
"Uber","Northeastern University",1,1.91,20.44,9
"Uber","Fenway",2,4.4,34.14,12
"Uber","Northeastern University",4,4.39,40.9,28.5
"Lyft","North Station",3,3.16,40.48,19.5
"Lyft","Beacon Hill",1,2.07,41.46,7
"Uber","North Station",3,0.56,30.5,11.5
"Uber","Theatre District",2,2.71,40.98,10.5
"Uber","Northeastern University",2,2.61,44.37,10.5
"Lyft","Beacon Hill",1,2.38,41.31,7
"Lyft","Boston University",5,2.91,40.86,52.5
"Uber","Theatre District",4,2.66,29.82,23.5
"Lyft","Haymarket Square",5,0.43,47.26,26
"Uber","North End",5,2.73,41.4,38
"Lyft","South Station",1,2.55,45.83,9
"Lyft","North Station",2,2.11,38.57,7
"Uber","Northeastern University",1,4.57,46.78,12
"Uber","Theatre District",3,2.62,39.53,16
"Uber","Haymarket Square",1,1.36,41.72,8
"Uber","Northeastern University",5,2.86,50.28,33
"Lyft","Fenway",4,2.68,41.14,26
"Uber","Haymarket Square",2,0.62,21.22,7
"Uber","North Station",3,3.01,35.41,17.5
"Uber","Northeastern University",3,3.22,37.79,17
"Uber","West End",1,2.84,37.44,11
"Uber","Theatre District",5,1.61,44.81,27
"Uber","Financial District",3,3.26,46.6,32
"Uber","Theatre District",4,0.55,44.64,16
"Uber","Haymarket Square",4,2.37,44.99,25
"Uber","Financial District",4,1.21,32.22,15
"Uber","Theatre District",1,2.66,31.85,9
"Uber","Back Bay",5,3.16,47.33,35
"Lyft","Boston University",3,3.49,52.01,19.5
"Uber","South Station",1,2.82,54.4,9.5
"Uber","Northeastern University",3,2.61,47.06,15
"Lyft","Boston University",1,3.03,43.47,7
"Lyft","Northeastern University",1,3.07,41.34,9
"Uber","North End",5,2.67,25.29,32
"Uber","Theatre District",3,1.61,38.4,18
"Lyft","North Station",5,3.2,43.92,34
"Lyft","Theatre District",1,0.63,39.47,5
"Uber","Northeastern University",5,3.51,40.81,36.5
"Lyft","Haymarket Square",2,0.65,38.61,7
"Uber","Theatre District",2,1.61,28.76,9
"Lyft","Financial District",4,1.03,41.95,16.5
"Lyft","Financial District",2,4.54,24.04,13.5
"Lyft","Northeastern University",2,3.22,40.83,11
"Lyft","South Station",4,1.15,37.26,16.5
"Uber","Beacon Hill",1,2.19,44.31,9
"Lyft","Northeastern University",1,2.83,37.31,7
"Uber","Beacon Hill",1,2.48,44.31,9
"Lyft","Back Bay",2,1.35,28.83,10.5
"Uber","North End",2,2.67,37.4,9.5
"Uber","Financial District",2,1.21,39.34,7
"Uber","Haymarket Square",2,0.49,43.47,7
"Lyft","Northeastern University",3,2.03,45.66,13.5
"Uber","North Station",3,3.05,38.08,19.5
"Lyft","South Station",2,1.84,43.92,9
"Uber","Fenway",3,2.66,26.36,17.5
"Uber","West End",3,2.84,38.33,17.5
"Lyft","North Station",5,2.16,41.37,30
"Lyft","North End",5,1.54,43.15,27.5
"Lyft","Back Bay",5,1.11,28.83,26
"Lyft","Financial District",4,0.43,41.37,16.5
"Lyft","Boston University",3,3.07,39.99,16.5
"Lyft","Theatre District",5,0.62,36.9,26
"Uber","North Station",4,0.56,38.23,15
"Lyft","Back Bay",5,1.46,28.47,26
"Lyft","Boston University",4,2.12,41.12,16.5
